outfit_id,gender,style,season,temp_level,top,outer,bottom,shoes,accessories,image_link
1,女裝,休閒,spring,warm,寬鬆T恤,薄針織外套,高腰牛仔短褲,帆布鞋,棒球帽,https://example.com/look_1
2,女裝,休閒,spring,warm,棉質上衣,牛仔外套,九分牛仔褲,白色球鞋,小肩背包,https://example.com/look_2
3,女裝,休閒,spring,warm,條紋長袖上衣,輕薄風衣,寬褲,樂福鞋,帆布托特包,https://example.com/look_3
4,女裝,休閒,spring,warm,針織毛衣,開襟外套,針織長裙,踝靴,圍巾,https://example.com/look_4
5,女裝,休閒,spring,warm,連帽上衣,薄西裝外套,內搭褲,麂皮靴,毛帽,https://example.com/look_5
6,女裝,休閒,summer,hot,寬鬆T恤,無外套,高腰牛仔短褲,帆布鞋,棒球帽,https://example.com/look_6
7,女裝,休閒,summer,hot,棉質上衣,薄罩衫,九分牛仔褲,白色球鞋,小肩背包,https://example.com/look_7
8,女裝,休閒,summer,hot,條紋長袖上衣,薄牛仔外套,寬褲,樂福鞋,帆布托特包,https://example.com/look_8
9,女裝,休閒,summer,hot,針織毛衣,亞麻襯衫外套,針織長裙,踝靴,圍巾,https://example.com/look_9
10,女裝,休閒,summer,hot,連帽上衣,運動外套,內搭褲,麂皮靴,毛帽,https://example.com/look_10
11,女裝,休閒,fall,cool,寬鬆T恤,風衣外套,高腰牛仔短褲,帆布鞋,棒球帽,https://example.com/look_11
12,女裝,休閒,fall,cool,棉質上衣,牛仔外套,九分牛仔褲,白色球鞋,小肩背包,https://example.com/look_12
13,女裝,休閒,fall,cool,條紋長袖上衣,薄鋪棉外套,寬褲,樂福鞋,帆布托特包,https://example.com/look_13
14,女裝,休閒,fall,cool,針織毛衣,針織開襟衫,針織長裙,踝靴,圍巾,https://example.com/look_14
15,女裝,休閒,fall,cool,連帽上衣,西裝外套,內搭褲,麂皮靴,毛帽,https://example.com/look_15
16,女裝,休閒,winter,cold,寬鬆T恤,厚羽絨外套,高腰牛仔短褲,帆布鞋,棒球帽,https://example.com/look_16
17,女裝,休閒,winter,cold,棉質上衣,長版大衣,九分牛仔褲,白色球鞋,小肩背包,https://example.com/look_17
18,女裝,休閒,winter,cold,條紋長袖上衣,鋪棉外套,寬褲,樂福鞋,帆布托特包,https://example.com/look_18
19,女裝,休閒,winter,cold,針織毛衣,呢大衣,針織長裙,踝靴,圍巾,https://example.com/look_19
20,女裝,休閒,winter,cold,連帽上衣,連帽羽絨外套,內搭褲,麂皮靴,毛帽,https://example.com/look_20
21,女裝,正式,spring,warm,雪紡襯衫,薄針織外套,高腰牛仔短褲,低跟皮鞋,棒球帽,https://example.com/look_21
22,女裝,正式,spring,warm,西裝背心,牛仔外套,九分牛仔褲,尖頭跟鞋,小肩背包,https://example.com/look_22
23,女裝,正式,spring,warm,細肩帶上衣搭罩衫,輕薄風衣,寬褲,樂福鞋,帆布托特包,https://example.com/look_23
24,女裝,正式,spring,warm,合身襯衫,開襟外套,針織長裙,踝靴,圍巾,https://example.com/look_24
25,女裝,正式,spring,warm,高領針織衫,薄西裝外套,內搭褲,麂皮靴,毛帽,https://example.com/look_25
26,女裝,正式,summer,hot,雪紡襯衫,無外套,高腰牛仔短褲,低跟皮鞋,棒球帽,https://example.com/look_26
27,女裝,正式,summer,hot,西裝背心,薄罩衫,九分牛仔褲,尖頭跟鞋,小肩背包,https://example.com/look_27
